,area,title,id,description,requirements
138,מרכז,Front-End Tech Lead,377688,"לחברה גלובאלית מהמצליחות בעולם המפתחת מוצרים בתחום ה cloud ונמצאת בת""א דרוש/ה Front-End Tech Lead","לפחות 5+ שנות ניסיון ומעלה בפיתוח  FRONTEND - חובה. בסקיילים גבוהים ניסיון עם REACT או ANGULAR  - חובה ניסיון בסביבות פיתוח מודרניות של Frontend, כמו ES6, TypeScript, SCSS, SASS, WebPack, Unit Testing ניסיון עם cloud - יתרון משמעותי ניסיון בעבודה בשיטת AGILE, SCRUM - יתרון ידע בתהליכי CI/CD"
139,שרון,Embedded SW Engineer,377680,לחברת הייטק בינלאומית המפתחת ומייצר אוזניות  Bluetooth לרוכבי אופנועים דרוש/ה Embedded SW Engineer לפיתוח מוצר מולטיסיפלנרי מורכב ומאתגר,תואר BSc במדעי המחשב / הנדסת תוכנה/אלקטרוניקה3-10 שנות ניסיון בפיתוח מערכות Embedded- חובהניסיון בפיתוח C++/ C - חובההבנה מצוינת ב Wireless Communication Protocols- חובהניסיון עם  Audio Signal Processing- יתרוןניסיון ב VoIP- יתרון
140,שרון,SW DSP Engineer,377669,לחברה מובילה בתחום התקשורת דרוש/ה SW DSP Engineer,"תואר BSCבהנדסת אלקטרוניקה/מחשביםלפחות 10 שנות ניסיון במימוש אלגוריתמים על גבי DSPניסיון בכתיבה ב-MATLAB,Python ו- C++/C"
141,מרכז,Experienced Back End Developer,377677,לחברה המייצרת אחראיות לשיתוף במדיה דרוש/ה: Experienced Back End Developer,תואר ראשון-חובה נסיון בפיתוח Python-חובה Unix/Linux-חובה נסיון ב: NoSQL ו בבסיס נתונים: RDBMS-חובה AWS-חובה נסיון עם Big Data Technology / Distributed Systems-חובה
142,מרכז,Back-End Engineer,377612,לחברה מעולה שמגייסת לצוות מנצח המפתח מוצר לעולם הפיננסי דרוש/ה: Back-End Engineer,
143,מרכז,Senior Back End Engineer,377653,לחברה בתחום הפיננסי שמגייסת בכל הכוח גם בתקופה הזו דרוש/ה: Senior Back End Engineer,"5+  שנות נסיון בפיתוח .NET - חובה נסיון בC#,distributed systems, micro services (תוך שימוש ב: RabbitMQ ו- Redis) נסיון עם ב MSSQL נסיון עם NoSQL כגון: CosmosDB, MongoDB, DynamoDB, Cassandra וכו' cloud-יתרון Docker/Kubernetes-יתרון"
144,מרכז,Quantitative Technology Developer,371388,"לקרן גידור עולמית המצליחה בכל העולם דרוש/ה Quantitative Technology Developer. הזדמנות להשתלב בחברה בה עובדים בחזית הטכנולוגיה יושבים באזור הבורסה בר""ג",מומחה/ית בצד הSERVER ניסיון של מעל ל- 5 שניםבפיתוח ב- ++C מתקדם - גירסה 11 / 14 / 17 חובה ניסיון בעבודה בחברות הייטק 
145,מרכז,Senior C++/Python Engineer,377607,חברה גלובאלית מצליחה בפתח תקווה המפתחת מוצרים לגיבוי קבצים דרוש/ה Senior C++/Python Engineer מפתח/ת מנוסה בשפות C++ (השפה העיקרית) וב-Python,"תואר במדעי המחשב / הנדסת תוכנה / או דומה - יתרון לפחות 5 שנות ניסיון - חובה, התמחות בפיתוח C++ ו- PYTHON - חובה ידע ב- LINUX וב- open source עבודה בחברות רלוונטיות בעולמות ה- IT, STORAGE, SECURITY -  יתרון משמעותי ! ידע ב-  FUSE, OpenSSL, Linux kernel, embedded -  יתרון ניסיון עם CI/CD - יתרון ניסיון עם GIT - יתרון"
146,מרכז,Senior C++/Java Engineer,377603,לחברה גלובאלית מצליחה בפתח תקווה המפתחת מוצרים לגיבוי קבצים דרוש/ה מפחת/ת C++ מנוסה,"תואר ראשון בהנדסת תוכנה/ מדעי המחשב / דומה  - חובה  לפחות 5+ שנות ניסיון מוכח בפיתוח C++ - חובה ניסיון גם בפיתוח JAVA - יתרון  !!! עדיפות גדולה לניסיון עם שתי השפות ! JAVA,  C++ ניסיון בסביבת LINUX  ניסיון בסביבת Multi-Threading ניסיון מחברת Storage - יתרון "
147,מרכז,ראש צוות פיתוח .NET,377584,,"השכלה אקדמאית – בתחום מדעי המחשב / הנדסת תעשיה וניהול/הנדסאי בוגר מגמת מחשבים – חובה לפחות 2 ש""נ בניהול צוות פיתוח לפחות 5 ש""נ בפיתוח C# .NET וניסיון בעבודה מול בסיסי נתונים (בעיקר SQL) – חובה ניסיון בפיתוח Web - יתרון היכרות עם כלים משלימים – יתרון Elastic search מסדי נתונים לא רלציונים (MongoDB, CB) Kafka ניסיון בפיתוח REST API's, עבודה עם microservices – יתרון "
148,מרכז,Senior Software Developer,377551,"לחברה המפתחת מוצר בתחום הטכנולוגיה ימית דרוש/ה דרוש/ה Senior Software Developer לתפקיד הכולל פיתוח מערכות מורכבות הכוללות בינה מלאכותית, הפיתוח ב Python","BSC במדעי המחשב/הנדסת תוכנה - יתרון משמעותילפחות 5 שנות נסיון בפיתוח מערכות מורכבות - חובהניסיון בפיתוח Backend ב Python/ C++/ Java/ NodeJS/ GO/ Scala - חובהניסיון בדיזיין וארכיטקטורהניסיון ב Docker, CI/CD, Kubernetes - יתרוןניסיון ב Cloud AWS - יתרון ניסיון ב Data pipeline, ETL - יתרוןניסיון ב Automotive - יתרון"
149,מרכז,מפתחי/ות RT/Embedded,377537,לחברה בתחום הפרוייקטים דרוש/ה מפתחי/ות RT/Embedded להשתלבות בפרוייקטי הדגל של החברה ולצמיחה של הפרוייקטים החדשים.,
150,מרכז,AngularJS Team Leader,377513,לחברה בתחום ה Cyber Security דרוש/ה AngularJS Team Leader,
